pretty_comp,delta_e
WCl4,-0.918452587444
SrSe,-1.99908630827
Ce2Ru,-0.268403845666
TiMnO3,-2.8160758017
TiNi,-0.351250292435
CuI,-0.368968012
Eu2O3,-3.4365846466
ThAl3,-0.289455923628
LaAl2,-0.52036926816
BaTe,-2.122602496
HfSi2,-0.72264872575
In2S3O12,-1.69913061706
Cs3CrO4,-1.99917699564
CdSb,-0.13225844947
VSi2,-0.4336410568
TmI3,-1.60361167575
Mg2Pb,-0.171722134873
MnAs,-0.29487384577
GeAs,-0.06504615852
WS2,-0.896191517387
CoI2,-0.325783553667
NdCl3,-2.69704216075
WBr4,-0.54930631
ThO2,-4.236913576
CsNO2,-0.98434654325
PtCl2,-0.36859489828
Cs2Te2O5,-1.558786208
SrBr2,-2.48042546299
HoI3,-1.618898974
B2O3,-2.639779569
ZrO2,-3.80126876033
V2FeO4,-2.2297838539
NdH2,-0.698161410497
RbH,-0.2710256605
Fe3Mo2,-0.008672821136
Cd3As2O8,-1.54216351342
KTl,-0.174540525362
BeH8SO8,-1.39560077685
Th3Si2,-0.59061829022
SrZrO3,-3.66339633128
PbSe,-0.518201062876
TaCl5,-1.48377480388
BMo2,-0.456718831333
ReCl3,-0.684047002135
Mg2Si,-0.273193865784
TmF3,-3.9005930145
FeSi2,-0.280522441101
Na3UO4,-2.62190120325
TiNi3,-0.359922595357
CaCu,-0.04293917061
Al5Co2,-0.4336410568
MnTe,-0.56156724141
CuS,-0.285017425
SnSe2,-0.404731653013
Cr2B,-0.31971700096
SrCrO3,-2.68434593
Li2SO4,-2.1268814589
P3Au2,-0.212484117832
Pu2S3,-2.05112219866
UBr2O,-2.52270736615
B2PbO4,-2.3113062405
NpCl3,-2.34166170672
TiNiO3,-2.49248256376
AgP3,-0.18007919125
UO2,-3.74841098333
NaNO2,-0.9187925355
CuSe,-0.2168205284
La2O3,-3.7219129997
Re2O7,-1.4546252945
CeMg,-0.08347383058
Tl2O3,-0.802194498
ThC,-0.6503579425
Si3Ru4,-0.49528921537
ZrN,-1.89284217651
NiI2,-0.333038542667
As2S3,-0.1921535658
Be3N2,-1.21939782258
AlB12,-0.212150228888
Tl2S,-0.328121732979
Pb3O4,-1.06409367846
Zn3P2,-0.404152635796
Ag2O,-0.107546575033
BeAl6O10,-3.42882363736
Sr14Cu24O41,-1.65546254424
CaMg2,-0.134428727608
Hf5Si4,-0.777127935212
CoCl2,-1.074774799
Sr2CrO4,-2.821154294
SnO2,-1.99557109337
CeS,-2.36550989199
CsI,-1.8039011935
BaV2O6,-2.6278606585
Tc2O7,-1.28358029193
MoO2,-2.03588810367
GaP,-0.59412141348
Ca3Al2Si3O12,-3.44412983516
Mg2C3,0.156110780448
LaClO,-3.4922407765
Ni6P5,-0.523917617325
Ca2AlH13O10,-1.65408965691
AsAu3O4,-0.497766090824
Cs5CrO4,-1.6651236182
FeCO3,-1.53508934107
MoI2,-0.359294693333
CuO,-0.807376633
CoBr2,-0.744154586
VF2,-3.42806867142
LiNbO3,-5.65988638992
GaCl3,-1.35946574949
WCl5,-0.88607253511
CaZn,-0.3794359247
SmCl2,-2.81735060691
HoH12Cl3O6,-1.35591504481
NiSeO3,-1.1760337169
CuCO3,-1.23587701188
Cu2SO5,-1.20172803776
SiS,-0.511108792915
CaB2O4,-2.9939858993
LiBr,-1.8197585266
K3AlCl6,-2.168205284
La2Te3,-1.626153963
BeS,-1.22298386
K2O2,-1.1478429025
VI2,-0.91064621928
AlB2,-0.52165443764
BeAl2O4,-3.407179732
HoCl3,-2.58510804475
GaAs,-0.46040160194
VO,-2.232463758
Ag2Te,-0.124310436283
TaB2,-0.722735094667
LaS2,-2.15375058211
K5Sb4,-0.47700516248
CaBr2,-2.36236260867
MgCr2O4,-2.640815996
Mg3N2,-0.95661175673
SnS,-0.56828328837
Ag2WO4,-1.37030603561
WCl2O,-1.5883243775
Cr2NiO4,-2.0344913949
UF5,-3.59812906833
Cr23C6,-0.117382148134
Sr7Mn4O15,-2.72634115479
La2NiO4,-3.017038997
NbN,-1.21831475637
KAlSiO4,-3.140817993
BeWO4,-2.61412800075
GeBr4,-0.721353192
K2SO4,-2.1286878031
Hf5Si3,-0.71033597299
HgF,-1.26832754125
TlAsO4,-1.63851335497
CoSb2,-0.17345642272
Pm2O3,-3.75186574
Mg3P2O8,-3.01362676042
WBr5,-0.538437645527
Cr5Si3,-0.42104846875
ThMg2,-0.1084102642
Al2Si2H4O9,-2.50014236895
Hg2SO4,-1.1002709032
ZnAs2,-0.256934399008
MgB20,-0.0809202718667
CuCl,-0.709952495
HgS,-0.305745965
SnBr4,-0.804267352
Mn3O4,-2.0529842138
Zr2Si,-0.798667191443
ZnI2,-0.732408413333
CrB2,-0.41132678349
CdTe,-0.52187208731
IrI,-0.23850258124
SrSO4,-2.51679023167
MoBr2,-0.80841306
GeSe2,-0.39027695112
TiPbO3,-2.48477154688
UCl5,-1.79899543903
In2Te5,-0.28372485247
Ba3Al2O6,-3.31893133797
KHF2,-2.41288756123
InS,-0.69382569088
TeO2,-1.12210496533
UCl3O,-2.38703648078
Ni2Ge,-0.380303068623
CaB6,-0.2477948896
Zn3As2O8,-1.70192474922
NaFeO2,-1.81060428512
CeNi3,-0.35238518
AlH3O3,-1.9163831352
MgTi2O5,-3.25094761556
Cs2TeO4,-1.657542895
MnO,-1.99626722683
SbF3,-2.37201606248
ErCl3,-2.576557522
PuH2,-0.481340882097
TaCl3,-1.43318421094
AuF3,-0.903056982572
BiClO,-1.26754676624
K3AlF6,-3.44744640156
CoSb3,-0.1626153963
Mg2Al4Si5H2O19,-3.0728084861
NaNO3,-0.9694738158
MoS2,-0.95401032496
UAl4,-0.24874248
NdClO,-3.45467375251
SnF4,-2.4270011059
CoF2,-2.32505123667
ScF3,-4.1759716684
EuO,-3.05745965
Al2CuO4,-2.8824811602
K2SiO3,-2.66534476833
YN,-1.55026677806
InSb,-0.158060299635
ZnFe2O4,-1.742381848
YH3,-0.68840517767
Sb2O5,-1.43900633961
Ni3As2O8,-1.47430943498
Cr3As2O8,-1.76848728016
BeH4SO6,-1.57447944016
FeAsO4,-1.49476093007
VI3,-0.72634877014
In5Se7,-0.59076339
